lat,lng,name,num_stores,quality
39.952399,-75.16359,2nd and Fairmount,83.0,3.0
39.952399,-75.16359,2nd and Girard,124.0,1.0
39.988832,-75.146777,6th and Germantown,16.0,3.0
39.989017,-75.155616,"Broad, Lehigh, & Glenwood",49.0,3.0
40.009852,-75.151013,Germantown and Lehigh,141.0,2.0
39.975082,-75.196289,40th and Girard,16.0,4.0
39.967126,-75.173243,Fairmount/19th-25th,69.0,1.0
39.963786,-75.170795,Spring Garden/16th-23rd,46.0,4.0
39.961276,-75.148211,Spring Garden/9th-13th ,51.0,4.0
39.960436,-75.161914,Broad and Fairmount,54.0,4.0
39.961938,-75.161193,Broad and Spring Garden,45.0,4.0
39.963982,-75.158994,Callowhill East,50.0,4.0
39.961276,-75.148211,Spring Garden/2nd-9th,36.0,2.0
39.956916,-75.147474,5th and Lehigh,147.0,2.0
39.992028,-75.139707,2nd and Lehigh,31.0,1.0
39.957031,-75.176617,Parkway/Logan Circle,60.0,3.0
39.948104,-75.147747,South 4th Street ,76.0,2.0
39.933337,-75.14349,9th Street - Italian Market,334.0,2.0
40.015355,-75.21052,Wissahickon,38.0,3.0
40.035705,-75.209144,Andorra Shopping Center,43.0,1.0
39.933337,-75.14349,6th and Washington,57.0,2.0
39.998823,-75.187598,East Falls,60.0,2.0
39.911557,-75.150591,Central Waterfront/Washington,81.0,4.0
39.924725,-75.172427,Snyder Plaza and Columbus Commons,51.0,1.0
40.005791,-75.075572,Harbison and Torresdale ,21.0,3.0
39.898996,-75.1745,Market East,941.0,3.0
39.916414,-75.168187,Whitman Plaza and vicinity,91.0,1.0
40.068714,-75.077112,Five Points,135.0,1.0
39.96522,-75.160791,Broad and Girard,110.0,2.0
39.972689,-75.168985,Girard and Ridge,49.0,4.0
39.999094,-75.231007,City Avenue/50th-52nd,30.0,2.0
39.999094,-75.231007,City Ave and Belmont vicinity,68.0,1.0
39.992377,-75.22043,Pathmark Super Center,10.0,2.0
39.997285,-75.204831,Wynnefield Heights,18.0,2.0
39.954308,-75.19512,36th Street and vicinity,104.0,2.0
39.95456,-75.202946,40th Street and vicinity,119.0,1.0
39.960927,-75.198147,40th and Lancaster,203.0,3.0
39.917147,-75.163208,Oregon Ave/5th-13th,62.0,2.0
40.062919,-75.083501,Fox Chase,64.0,2.0
39.952399,-75.16359,Cottman and the Boulevard,209.0,1.0
40.034981,-75.069567,Roosevelt/Cottman-Tyson,62.0,1.0
39.960382,-75.170686,Callowhill West,42.0,2.0
39.954617,-75.156357,Chinatown,220.0,1.0
39.941807,-75.165821,Broad and Washington,94.0,3.0
39.944506,-75.171726,South Street/16th-21st,57.0,2.0
39.940957,-75.186686,South and Grays Ferry,53.0,1.0
39.949953,-75.14354,Old City,395.0,2.0
39.917108,-75.246459,Woodland Avenue,228.0,2.0
39.925853,-75.242605,Chester Avenue,66.0,2.0
39.951257,-75.179409,23rd and Walnut,19.0,2.0
39.954668,-75.183657,30th Street,48.0,2.0
39.977745,-75.158309,Broad and Cecil B. Moore,102.0,2.0
39.994886,-75.187244,Ridge and Cecil B. Moore,122.0,4.0
39.945363,-75.141367,Central Waterfront/Penns Landing,9.0,2.0
39.989017,-75.155616,Broad and Susquehanna,103.0,3.0
39.960116,-75.17534,N 22nd Street/Hope Plaza,145.0,2.0
40.005016,-75.169945,Hunting Park West,28.0,1.0
39.918164,-75.171111,Broad and Snyder,162.0,3.0
39.924942,-75.145333,Pennsport Mall/South Second,49.0,3.0
39.978879,-75.118611,Aramingo Avenue,150.0,1.0
40.00719,-75.135257,Erie Torresdale,73.0,3.0
39.953085,-75.181627,Market West,961.0,2.0
39.947453,-75.187634,South Street/Front-8th,422.0,1.0
39.943113,-75.159376,South Street/8th-12th,63.0,1.0
39.977344,-75.214834,48th and Brown,3.0,4.0
39.965448,-75.133105,Central Waterfront/Spring Garden,38.0,2.0
39.976305,-75.226748,Park West Town Center,20.0,1.0
39.952399,-75.16359,Progress Haddington Plaza,15.0,2.0
39.976305,-75.226748,North 52nd Street,111.0,3.0
39.974667,-75.251513,Lansdowne Avenue,82.0,3.0
39.97264,-75.217772,54006000 Lancaster Ave,42.0,2.0
39.97264,-75.217772,Lancaster and Girard,56.0,3.0
39.973778,-75.245248,63rd and Lancaster,34.0,3.0
39.981556,-75.2301,54th and Berks,45.0,3.0
39.988549,-75.218114,Bryn Mawr and Wynnefield,10.0,3.0
39.981556,-75.2301,54th and City Avenue,25.0,4.0
39.906168,-75.193221,Penrose and Packer,11.0,4.0
39.899926,-75.174621,Navy Yard,2.0,2.0
40.070178,-75.050279,Bells Corner,29.0,2.0
40.057975,-75.045866,Pennypack Circle,45.0,1.0
39.917509,-75.177212,West Oregon,31.0,2.0
39.917509,-75.177212,Quartermaster Plaza and vicinity,81.0,1.0
39.923781,-75.236909,49th and Woodland,43.0,3.0
39.948393,-75.219229,58th and Baltimore,20.0,2.0
39.948393,-75.219229,55th and Baltimore,30.0,4.0
39.948393,-75.219229,50th and Baltimore,81.0,2.0
39.948393,-75.219229,46th and Baltimore,58.0,2.0
39.978327,-75.272475,City Avenue Shopping Center,31.0,1.0
39.972229,-75.247882,City and Haverford,76.0,1.0
39.924883,-75.173854,10th and Snyder,22.0,2.0
39.922285,-75.142435,Pier 70 Plaza and vicinity,12.0,1.0
40.035478,-75.114049,Rising Sun and Adams vicinity,46.0,3.0
40.031713,-75.099556,Adams and the Boulevard,85.0,1.0
40.010247,-75.098097,Castor and Wyoming,11.0,2.0
40.005234,-75.092712,Frankford Avenue/Church,47.0,3.0
40.00669,-75.094851,Kensington Ave/Harrowgate,19.0,4.0
40.006959,-75.109019,Harrowgate Plaza,11.0,4.0
39.991361,-75.085127,Bridesburg,32.0,2.0
39.907418,-75.161558,South Seventh Street,138.0,3.0
39.940958,-75.159033,Reed and Passyunk,14.0,2.0
39.925378,-75.170103,East Passyunk,164.0,2.0
39.918164,-75.171111,Broad and Morris,51.0,2.0
39.922137,-75.188053,20th and Passyunk,28.0,3.0
39.909246,-75.182899,Snyder Avenue/17th-23rd,71.0,2.0
39.923697,-75.164433,Wilson Park,8.0,4.0
39.926965,-75.189858,Point Breeze Avenue,107.0,2.0
39.938853,-75.174749,Washington Avenue West,61.0,3.0
39.940957,-75.186686,30th and Grays Ferry,13.0,1.0
39.940106,-75.178248,reserved  - Christian St. vicinity,30.0,
39.917108,-75.246459,Woodland and Island Avenues,10.0,2.0
39.927107,-75.223371,Elmwood Avenue,92.0,2.0
39.918182,-75.209261,61st and Passyunk,6.0,3.0
39.901374,-75.239332,Penrose Plaza and vicinity,42.0,3.0
39.923781,-75.236909,54th and Woodland,57.0,2.0
39.928822,-75.220322,58th and Florence,13.0,4.0
39.925853,-75.242605,52nd and Chester,10.0,4.0
39.953085,-75.181627,46th Street and vicinity,83.0,2.0
39.953429,-75.218367,48th and Spruce,39.0,2.0
39.94962,-75.149082,5th and Delancey,5.0,2.0
39.955979,-75.246059,Pine Street,46.0,3.0
39.918164,-75.171111,Broad and Oregon,111.0,2.0
39.910852,-75.166306,Packer Park ,25.0,2.0
39.904482,-75.166417,Sports Complex,12.0,1.0
40.012001,-75.189307,Conrad and Sunnyside,17.0,2.0
40.01095,-75.186092,Scotts Lane,12.0,3.0
