,name,lat,lng,category,mode,dist,time
0,Chestnut Hill Farmers’ Market,40.067706,-75.19733599999998,farmers_markets,bicycle,0.62,4.75
1,Mt. Airy,40.046377,-75.19591199999998,farmers_markets,bicycle,1.22,9.2
2,Germantown/Roumfort-Gorgas,40.0597,-75.189899,commercial,pedestrian,0.18,5.32
3,Mount Pleasant/Cresheim-Emlen,40.0544,-75.194295,commercial,pedestrian,0.53,14.57
4,Chew and Washington,40.050817,-75.17326,commercial,bicycle,1.26,9.53
5,Market Square - Chestnut Hill,40.072473,-75.194429,commercial,bicycle,1.03,8.88
6,Germantown/Upsal-High,40.042776,-75.17989,commercial,bicycle,1.42,11.17
7,Germantown/Gorgas-Upsal,40.052256,-75.185148,commercial,bicycle,0.68,5.58
8,Germantown/Roumfort-Gorgas,40.0597,-75.189899,commercial,bicycle,0.18,1.98
9,Pelham Plaza,40.043054,-75.19034,commercial,bicycle,1.41,10.18
10,Mount Pleasant/Cresheim-Emlen,40.0544,-75.194295,commercial,bicycle,0.57,4.37
11,Chew and Phil Ellena,40.055958,-75.181348,commercial,bicycle,0.69,5.5
12,Stenton and Mt. Airy,40.06882,-75.180888,commercial,bicycle,0.86,7.1
13,Stenton and Washington Lane,40.059817,-75.165429,commercial,bicycle,1.82,14.08
14,Vernon Road,40.07363400000001,-75.167299,commercial,bicycle,1.89,14.23
15,Wadsworth Avenue,40.080512,-75.171716,commercial,bicycle,1.82,14.23
16,Chestnut Hill,40.074983,-75.205877,commercial,bicycle,1.36,11.95
17,Chew and Chelten,40.0447,-75.16553499999998,commercial,bicycle,1.9,13.97
18,Carpenter/McCallum-Sherman,40.046379,-75.1956,commercial,bicycle,1.21,8.98
19,HENRY H. HOUSTON SCHOOL,40.0591252651313,-75.194819995356,schools,pedestrian,0.33,9.45
20,ANNA B. DAY SCHOOL,40.058406820418895,-75.1683346406611,schools,bicycle,1.56,12.48
21,FRANKLIN S. EDMONDS SCHOOL,40.072961257233096,-75.1709998691682,schools,bicycle,1.63,12.45
